TweetID,Date,Hashtags,CovidRelated
281725,1255485693381484288,04/29/20,"['socialmedia', 'coronavirus']",No
281729,1255485693683523584,04/29/20,[],
281731,1255485693532520448,04/29/20,[],
281736,1255485693880664064,04/29/20,[],
281749,1255485694203445248,04/29/20,"['BJP', 'RSS']",No
281754,1255485694388117504,04/29/20,[],
281758,1255485696334278912,04/29/20,[],
281762,1255485697076715520,04/29/20,[],
281764,1255485697299042304,04/29/20,[],
281765,1255485696099463168,04/29/20,[],
281766,1255485697391316992,04/29/20,[],
281769,1255485697005359104,04/29/20,[],
281771,1255485697512878080,04/29/20,['COVID19'],Yes
281777,1255485697718390784,04/29/20,[],
281778,1255485697840025600,04/29/20,[],
281781,1255485697793969920,04/29/20,[],
281782,1255485697781358592,04/29/20,[],
281787,1255485697848496128,04/29/20,[],
281788,1255485697626124288,04/29/20,[],
281789,1255485697819107328,04/29/20,[],
281790,1255485698146283520,04/29/20,[],
281792,1255485697928069120,04/29/20,[],
281796,1255485697844301824,04/29/20,[],
281797,1255485698318229504,04/29/20,"['UK', 'COVID19', 'patients']",No
281799,1255485698347581440,04/29/20,[],
281800,1255485698305654784,04/29/20,[],
281801,1255485697605107712,04/29/20,[],
281815,1255485701656846336,04/29/20,[],
281818,1255485701719764992,04/29/20,[],
281819,1255485701682053120,04/29/20,[],
281820,1255485701673701120,04/29/20,['COVID19'],Yes
281828,1255485702021799936,04/29/20,[],
281830,1255485701874991104,04/29/20,[],
281833,1255485701942120448,04/29/20,[],
281840,1255485702214647808,04/29/20,[],
281843,1255485702202163200,04/29/20,[],
281844,1255485702135054336,04/29/20,[],
281845,1255485702046920704,04/29/20,[],
281850,1255485702374149888,04/29/20,[],
281851,1255485702478999552,04/29/20,[],
281853,1255485702504144896,04/29/20,[],
281860,1255485705662406912,04/29/20,[],
281861,1255485705658269696,04/29/20,[],
281862,1255485705708503040,04/29/20,"['Covid19', 'Lombardia', 'Piemonte']",Yes
281863,1255485705817554944,04/29/20,[],
281864,1255485705872183296,04/29/20,[],
281870,1255485705893171200,04/29/20,[],
281873,1255485705947623424,04/29/20,[],
281876,1255485706228678912,04/29/20,[],
281881,1255485706119643136,04/29/20,[],
281882,1255485706090295296,04/29/20,[],
281884,1255485706316795904,04/29/20,[],
281887,1255485706450939904,04/29/20,[],
281888,1255485706417430528,04/29/20,[],
281895,1255485706383822848,04/29/20,[],
281897,1255485706631290880,04/29/20,[],
281898,1255485706509697024,04/29/20,[],
281906,1255485707050799104,04/29/20,[],
281907,1255485709747699712,04/29/20,[],
281910,1255485709525430272,04/29/20,[],
281917,1255485709877739520,04/29/20,[],
281919,1255485710016172032,04/29/20,[],
281921,1255485709978423296,04/29/20,[],
281923,1255485709311451136,04/29/20,[],
281927,1255485710305541888,04/29/20,[],
281934,1255485710318145536,04/29/20,[],
281940,1255485710460649472,04/29/20,[],
281941,1255485710892744704,04/29/20,[],
281944,1255485710305570816,04/29/20,[],
281945,1255485710775341056,04/29/20,[],
281955,1255485710573998080,04/29/20,[],
281957,1255485714172649472,04/29/20,[],
281963,1255485713526767616,04/29/20,[],
281969,1255485714059481088,04/29/20,['COVID19'],Yes
281971,1255485714445348864,04/29/20,[],
281973,1255485714453557248,04/29/20,[],
281978,1255485714650841088,04/29/20,[],
281979,1255485714508189696,04/29/20,[],
281980,1255485714596331520,04/29/20,"['COVID19', 'banche', 'Economia', 'attodamore']",Yes
281985,1255485714730549248,04/29/20,[],
281986,1255485714671820800,04/29/20,[],
281987,1255485714780872704,04/29/20,[],
281988,1255485714877341696,04/29/20,[],
281991,1255485714638221056,04/29/20,[],
281992,1255485714403405824,04/29/20,[],
281996,1255485714864750592,04/29/20,[],
281998,1255485715049254912,04/29/20,"['quedateencasa', 'EsteVirusLoParamosUnidos']",No
281999,1255485714952785920,04/29/20,['Illinois'],No
282001,1255485714994737152,04/29/20,[],
282014,1255485717859442688,04/29/20,[],
282015,1255485718270525440,04/29/20,[],
282016,1255485718367002624,04/29/20,"['bbb20', 'followtrick', 'follwtrick']",No
282019,1255485718534725632,04/29/20,[],
282025,1255485717859483648,04/29/20,"['CimapConsultores', 'Infórmate', 'Hidalgo', 'QuedateEnCasa']",No
282027,1255485717989466112,04/29/20,[],
282030,1255485718715080704,04/29/20,[],
282031,1255485718442446848,04/29/20,[],
282032,1255485719008681984,04/29/20,[],
282034,1255485718626959104,04/29/20,[],
282035,1255485718882893824,04/29/20,[],
282045,1255485719310729216,04/29/20,[],
282046,1255485719306555392,04/29/20,[],
282056,1255485719558135808,04/29/20,[],
282058,1255485722443821056,04/29/20,"['GoogleClassroom', 'UM', 'ThankYouGoogle']",No
282080,1255485722997534720,04/29/20,['BolsonaroHeroi'],No
282085,1255485722997506048,04/29/20,[],
282090,1255485723198832640,04/29/20,[],
282092,1255485723337244672,04/29/20,[],
282099,1255485723391787008,04/29/20,[],
282100,1255485723475611648,04/29/20,[],
282101,1255485723517620224,04/29/20,[],
282103,1255485723458907904,04/29/20,[],
282105,1255485723483963392,04/29/20,[],
282110,1255485726566858752,04/29/20,[],
282111,1255485726424215552,04/29/20,[],
282114,1255485726852071424,04/29/20,[],
282115,1255485726843642112,04/29/20,[],
282118,1255485726810136320,04/29/20,[],
282120,1255485726973665280,04/29/20,[],
282121,1255485726461956096,04/29/20,[],
282124,1255485726923374592,04/29/20,[],
282125,1255485727007260672,04/29/20,[],
282127,1255485726906634240,04/29/20,[],
282128,1255485727040851968,04/29/20,[],
282131,1255485727003082752,04/29/20,[],
282133,1255485727112077056,04/29/20,[],
282134,1255485727070129920,04/29/20,['COVID19'],Yes
282140,1255485727334379520,04/29/20,[],
282149,1255485727770632192,04/29/20,[],
282158,1255485730836680704,04/29/20,"['fensterbaufrontale', 'пандемии', 'COVID19']",No
282159,1255485730702471168,04/29/20,[],
282161,1255485730752794624,04/29/20,[],
282162,1255485730903785472,04/29/20,[],
282163,1255485730824032512,04/29/20,[],
282164,1255485730849201920,04/29/20,['PopulationExplosion'],No
282165,1255485730765377536,04/29/20,[],
282171,1255485730924658688,04/29/20,[],
282173,1255485731163779072,04/29/20,[],
282178,1255485730148814848,04/29/20,[],
282179,1255485731297951488,04/29/20,[],
282181,1255485723219824640,04/29/20,[],
282183,1255485730148814848,04/29/20,[],
282189,1255485731700707328,04/29/20,"['lockdownlife', 'passmethewine']",No
282191,1255485731612626944,04/29/20,[],
282193,1255485731751038720,04/29/20,[],
282196,1255485731998511104,04/29/20,"['Covid19', 'Visioconférence']",Yes
282197,1255485731985899520,04/29/20,[],
282199,1255485732128464896,04/29/20,[],
282201,1255485732115841024,04/29/20,['conversionMafia'],No
282204,1255485732262731520,04/29/20,['TNWantCWMAuthority'],No
282210,1255485734850572288,04/29/20,"['COVID19', 'Odisha', 'OdishaFightsCorona', 'OdishaCares']",Yes
282217,1255485729913913088,04/29/20,[],
282218,1255485735114878720,04/29/20,[],
282219,1255485735098101504,04/29/20,[],
282221,1255485735219745024,04/29/20,[],
282224,1255485735114878720,04/29/20,[],
282225,1255485734858915840,04/29/20,[],
282227,1255485735265861632,04/29/20,[],
282229,1255485735496552448,04/29/20,[],
282231,1255485735223820288,04/29/20,[],
282233,1255485735551016704,04/29/20,[],
282236,1255485735584530432,04/29/20,[],
282249,1255485735983108096,04/29/20,[],
282252,1255485735454625792,04/29/20,[],
282256,1255485736025022464,04/29/20,"['Brave', 'BAT', 'basicattentiontoken']",No
282257,1255485739112042496,04/29/20,[],
282259,1255485738919084032,04/29/20,[],
282260,1255485739141300224,04/29/20,[],
282261,1255485739149778944,04/29/20,[],
282262,1255485739141402624,04/29/20,"['MaskLife', 'ComicRelief', 'Laugh']",No
282267,1255485739183341568,04/29/20,[],
282273,1255485739418206208,04/29/20,[],
